Game,total_industry,regard,total_science,uid,ai,huid,total_stars,total_fleets,total_strength,alias,avatar,conceded,ready,total_economy,missed_turns,karma_to_give,scanning,propulsion,terraforming,research,weapons,banking,manufacturing,position,Survived,Over 10,Podium,Winner,AFK,Rank,True Alias,Played,Max Tech
Chi Alrischa,0,0,0,1,1,26,0,0,0,Brizmarks,38,1,1,0,0,16,7,10,9,8,13,9,10,,0,0,0,0,0,1,Brizmarks,1,13
Chi Alrischa,0,0,0,54,1,34,0,0,0,Butler,34,1,1,0,0,16,3,1,2,1,1,2,2,,0,0,0,0,0,1,Butler,1,3
Chi Alrischa,0,0,0,3,0,20,0,0,0,Caramba,38,3,1,0,0,16,3,2,3,1,8,4,6,,0,0,0,0,0,1,Caramba,1,8
Chi Alrischa,0,0,0,7,0,32,0,0,0,Crum Blasters,14,3,1,0,0,16,3,3,5,2,2,2,2,,0,0,0,0,0,1,Crum Blasters,1,5
Chi Alrischa,0,0,0,32,0,45,0,0,0,decluded,32,3,1,0,0,14,3,3,2,3,3,2,2,,0,0,0,0,0,1,decluded,1,3
Chi Alrischa,0,0,0,45,0,7,0,0,0,Deepsix,2,3,1,0,0,16,3,8,9,3,13,6,10,,0,0,0,0,0,1,Deepsix,1,13
Chi Alrischa,0,0,0,12,1,44,0,0,0,Eigengeist,38,1,1,0,0,16,5,5,3,5,6,4,3,,0,0,0,0,0,1,Eigengeist,1,6
Chi Alrischa,0,0,0,23,1,16,0,0,0,Em Em Awaaa,36,1,1,0,0,16,3,1,1,2,2,1,1,,0,0,0,0,0,1,Em Em Awaaa,1,3
Chi Alrischa,0,0,0,55,0,33,0,0,0,figaro,34,3,1,0,0,16,3,2,2,2,2,2,4,,0,0,0,0,0,1,figaro,1,4
Chi Alrischa,0,0,0,11,1,36,0,0,0,Gale Bendigo,34,1,1,0,0,16,3,2,2,2,3,1,2,,0,0,0,0,0,1,Gale Bendigo,1,3
Chi Alrischa,0,0,0,59,1,41,0,0,0,Gelatin,34,1,1,0,0,16,3,2,1,1,2,1,2,,0,0,0,0,0,1,Gelatin,1,3
Chi Alrischa,0,0,0,60,0,8,0,0,0,Grand Noobheimer Command,32,3,1,0,0,16,3,2,2,1,3,1,1,,0,0,0,0,0,1,Grand Noobheimer Command,1,3
Chi Alrischa,0,0,0,52,1,25,0,0,0,gravitation,30,1,1,0,0,16,3,1,1,1,2,1,1,,0,0,0,0,0,1,gravitation,1,3
Chi Alrischa,0,0,0,9,0,10,0,0,0,GrumpyReaper,38,3,1,0,0,16,3,3,2,2,3,3,2,,0,0,0,0,0,1,GrumpyReaper,1,3
Chi Alrischa,0,0,0,43,1,28,0,0,0,HungryKC,16,1,1,0,0,16,8,10,10,8,15,10,11,,0,0,0,0,0,1,HungryKC,1,15
Chi Alrischa,0,0,0,56,1,30,0,0,0,JoshuaTheGreat88,50,1,1,0,0,16,3,3,2,3,3,2,2,,0,0,0,0,0,1,JoshuaTheGreat88,1,3
Chi Alrischa,0,0,0,26,1,40,0,0,0,Kabindas,36,1,1,0,0,15,4,3,3,2,4,3,2,,0,0,0,0,0,1,Kabindas,1,4
Chi Alrischa,0,0,0,63,1,29,0,0,0,Kuromi,38,1,1,0,0,0,3,2,2,2,2,2,2,,0,0,0,0,0,1,Kuromi,1,3
Chi Alrischa,0,0,0,31,1,11,0,0,0,La Scampade,8,1,1,0,0,0,4,3,4,3,5,4,3,,0,0,0,0,0,1,La Scampade,1,5
Chi Alrischa,0,0,0,51,1,22,0,0,0,Logia,25,1,1,0,0,16,3,1,2,3,2,1,2,,0,0,0,0,0,1,Logia,1,3
Chi Alrischa,0,0,0,15,0,23,0,0,0,Memory,34,3,1,0,0,16,6,6,9,6,13,10,8,,0,0,0,0,0,1,Memory,1,13
Chi Alrischa,0,0,0,29,1,46,0,0,0,monosaicol,32,1,1,0,0,16,3,2,2,2,2,2,2,,0,0,0,0,0,1,monosaicol,1,3
Chi Alrischa,0,0,0,62,1,43,0,0,0,Nassau,37,1,1,0,0,0,3,4,6,2,4,3,3,,0,0,0,0,0,1,Nassau,1,6
Chi Alrischa,0,0,0,33,1,6,0,0,0,Orion Nix,50,1,1,0,0,16,3,3,3,2,4,2,3,,0,0,0,0,0,1,Orion Nix,1,4
Chi Alrischa,0,0,0,18,1,18,0,0,0,Pattolion,6,1,1,0,0,16,3,3,2,1,3,2,2,,0,0,0,0,0,1,Pattolion,1,3
Chi Alrischa,0,0,0,28,0,13,0,0,0,plesio,20,3,1,0,0,16,3,1,1,1,1,1,2,,0,0,0,0,0,1,plesio,1,3
Chi Alrischa,0,0,0,35,1,59,0,0,0,Rardie,38,1,1,0,0,16,6,6,8,7,9,5,7,,0,0,0,0,0,1,Rardie,1,9
Chi Alrischa,0,0,0,49,0,9,0,0,0,Rotui,38,3,1,0,0,16,4,2,3,2,5,4,4,,0,0,0,0,0,1,Rotui,1,5
Chi Alrischa,0,0,0,4,0,48,0,0,0,SGAbyss,11,3,1,0,0,16,6,6,9,7,9,9,6,,0,0,0,0,0,1,SGAbyss,1,9
Chi Alrischa,0,0,0,37,1,53,0,0,0,Six Six Six,39,1,1,0,0,1,6,6,10,8,10,7,6,,0,0,0,0,0,1,Six Six Six,1,10
Chi Alrischa,0,0,0,27,1,63,0,0,0,Sloog,21,1,1,0,0,16,3,3,2,2,3,3,2,,0,0,0,0,0,1,Sloog,1,3
Chi Alrischa,0,0,0,42,1,47,0,0,0,The Fortunate Teller,33,1,1,0,0,16,5,5,6,5,5,5,3,,0,0,0,0,0,1,The Fortunate Teller,1,6
Chi Alrischa,0,0,0,34,1,19,0,0,0,Walden,30,1,1,0,0,16,4,4,3,5,5,4,4,,0,0,0,0,0,1,Walden,1,5
Chi Alrischa,0,0,0,53,1,52,0,0,0,Wormwood Star,38,1,1,0,0,16,6,5,9,8,9,7,6,,0,0,0,0,0,1,Wormwood Star,1,9
Chi Alrischa,0,0,0,5,1,17,0,0,0,wurm,21,1,1,0,0,16,4,4,3,5,5,4,4,,0,0,0,0,0,1,wurm,1,5
Chi Alrischa,47,0,23,30,1,14,2,2,1211,begg,34,2,1,10,0,16,7,8,19,8,20,10,13,,0,0,0,0,1,0,begg,1,20
Chi Alrischa,0,0,0,58,1,21,0,0,0,BewilderedBaker,5,2,1,0,0,10,3,2,2,3,2,2,3,,0,0,0,0,1,0,BewilderedBaker,1,3
Chi Alrischa,0,0,0,16,1,49,0,0,0,Dontoli,33,2,1,0,0,16,3,3,3,2,3,3,3,,0,0,0,0,1,0,Dontoli,1,3
Chi Alrischa,0,0,0,8,1,56,0,0,0,Johnny B Goode,50,2,1,0,0,16,3,2,3,2,4,3,2,,0,0,0,0,1,0,Johnny B Goode,1,4
Chi Alrischa,0,0,0,10,1,61,0,0,0,MrWBD,33,2,1,0,0,16,3,3,2,2,3,2,2,,0,0,0,0,1,0,MrWBD,1,3
Chi Alrischa,0,0,0,61,1,57,0,0,0,Mugeye,38,2,1,0,0,16,6,6,9,8,11,7,7,,0,0,0,0,1,0,Mugeye,1,11
Chi Alrischa,0,0,0,0,1,60,0,0,0,Poketimx,32,2,1,0,0,16,3,3,2,2,3,3,2,,0,0,0,0,1,0,Poketimx,1,3
Chi Alrischa,0,0,0,46,1,12,0,0,0,Roman,32,2,1,0,0,16,3,3,2,3,3,3,3,,0,0,0,0,1,0,Roman,1,3
Chi Alrischa,0,0,0,50,1,55,0,0,0,Semmray,38,2,1,0,0,16,3,2,2,2,3,2,2,,0,0,0,0,1,0,Semmray,1,3
Chi Alrischa,0,0,0,24,1,31,0,0,0,Slicertos,17,2,1,0,0,16,3,3,2,2,3,2,2,,0,0,0,0,1,0,Slicertos,1,3
Chi Alrischa,0,0,0,19,1,54,0,0,0,tofuboi2,38,2,1,0,0,16,3,2,1,1,2,2,2,,0,0,0,0,1,0,tofuboi2,1,3
Chi Alrischa,0,0,0,36,1,51,0,0,0,XDloco,38,2,1,0,0,16,3,2,3,2,3,3,3,,0,0,0,0,1,0,XDloco,1,3
Chi Alrischa,0,0,0,17,1,58,0,0,0,XZakkuX,38,2,1,0,0,16,3,2,2,1,2,1,2,,0,0,0,0,1,0,XZakkuX,1,3
Delta Heze,1825,0,800,11,0,63,278,455,125312,Rhino,38,0,0,2430,0,0,7,11,30,9,30,8,28,1,1,1,1,1,0,64,Rhino,1,30
Delta Heze,1705,0,555,10,0,25,225,282,90154,Clanmac,42,0,0,1720,0,0,10,10,23,8,24,12,18,2,1,1,1,0,0,32,Clanmac,1,24
Delta Heze,727,0,605,47,0,8,144,160,96287,StarryKnight,50,0,0,1222,0,12,7,11,27,9,30,8,28,3,1,1,1,0,0,16,StarryKnight,1,30
Delta Heze,495,0,341,57,0,57,97,176,79642,The Burninator,32,0,0,907,0,16,7,10,25,9,32,8,22,4,1,1,0,0,0,1,The Burninator,1,32
Delta Heze,328,0,118,62,0,36,63,109,45952,Halstorm,43,0,0,630,0,10,7,10,10,8,22,11,21,5,1,1,0,0,0,1,Halstorm,1,22
Delta Heze,137,0,32,61,0,47,25,12,12132,node2527,38,0,0,102,0,14,7,10,10,8,22,11,18,6,1,1,0,0,0,1,node2527,1,22
Delta Heze,30,0,10,52,0,33,6,5,6931,blobman,38,0,0,22,0,16,10,6,8,5,22,13,8,7,1,0,0,0,0,1,blobman,1,22
Delta Heze,13,0,6,23,0,37,2,2,1044,Varg Starlance,3,0,0,12,0,7,7,10,10,7,14,12,13,8,1,0,0,0,0,1,Varg Starlance,1,14
Delta Heze,13,0,6,18,1,16,1,3,1897,Phase Shift,19,1,1,19,0,15,6,6,13,6,15,6,12,9,1,0,0,0,0,1,Phase Shift,1,15
Delta Heze,3,0,1,35,0,34,1,2,3715,Okeefe,36,0,0,0,0,16,7,8,10,6,17,9,12,10,1,0,0,0,0,1,Okeefe,1,17
Delta Heze,0,0,0,20,0,24,0,1,836,Shadow Jack,32,0,0,0,0,16,5,8,12,6,24,6,12,11,1,0,0,0,0,1,Shadow Jack,1,24
Delta Heze,0,0,0,0,1,53,0,0,0,Bubbles T Happiphish,32,1,1,0,0,16,4,3,2,4,5,3,3,,0,0,0,0,0,1,Bubbles T Happiphish,1,5
Delta Heze,0,0,0,3,0,50,0,0,0,DaOrks,33,3,1,0,0,16,3,1,1,1,1,1,1,,0,0,0,0,0,1,DaOrks,1,3
Delta Heze,0,0,0,5,1,2,0,0,0,Amoeba,38,1,1,0,0,16,3,4,4,4,4,3,3,,0,0,0,0,0,1,Amoeba,1,4
Delta Heze,0,0,0,6,0,54,0,0,0,galagame,32,3,1,0,0,16,3,4,3,5,5,3,4,,0,0,0,0,0,1,galagame,1,5
Delta Heze,0,0,0,7,1,28,0,0,0,Lord Mustache,33,1,1,0,0,16,4,3,2,2,3,2,3,,0,0,0,0,0,1,Lord Mustache,1,4
Delta Heze,0,0,0,8,0,1,0,0,0,Binbo,50,3,1,0,0,16,4,2,2,2,2,4,2,,0,0,0,0,0,1,Binbo,1,4
Delta Heze,0,0,0,12,0,58,0,0,0,Wealw,36,3,1,0,0,16,3,1,2,2,2,1,1,,0,0,0,0,0,1,Wealw,1,3
Delta Heze,0,0,0,13,0,46,0,0,0,ArtfulBoundary,38,3,1,0,0,16,3,2,2,1,2,2,1,,0,0,0,0,0,1,ArtfulBoundary,1,3
Delta Heze,0,0,0,15,0,48,0,0,0,Xorglord,34,3,1,0,0,16,7,9,10,8,17,9,10,,0,0,0,0,0,1,Xorglord,1,17
Delta Heze,0,0,0,17,1,39,0,0,0,Gissni,4,1,1,0,0,16,5,3,3,3,5,3,3,,0,0,0,0,0,1,Gissni,1,5
Delta Heze,0,0,0,19,1,4,0,0,0,BioM6,6,1,1,0,0,16,5,6,7,6,8,7,8,,0,0,0,0,0,1,BioM6,1,8
Delta Heze,0,0,0,21,1,12,0,0,0,chiropractor345,34,1,1,0,0,13,6,6,8,7,10,6,7,,0,0,0,0,0,1,chiropractor345,1,10
Delta Heze,0,0,0,24,0,45,0,0,0,Kalestone,38,3,1,0,0,1,3,2,1,2,3,1,3,,0,0,0,0,0,1,Kalestone,1,3
Delta Heze,0,0,0,26,0,20,0,0,0,Artdude82,32,3,1,0,0,16,4,4,4,4,7,3,4,,0,0,0,0,0,1,Artdude82,1,7
Delta Heze,0,0,0,28,1,43,0,0,0,Capnjeff,43,1,1,0,0,16,5,5,5,4,7,5,4,,0,0,0,0,0,1,Capnjeff,1,7
Delta Heze,0,0,0,29,1,51,0,0,0,chocolo,38,1,1,0,0,16,6,7,10,8,12,8,9,,0,0,0,0,0,1,chocolo,1,12
Delta Heze,0,0,0,30,0,27,0,0,0,Minimum Reglugons,34,3,1,0,0,16,3,2,2,3,3,3,2,,0,0,0,0,0,1,Minimum Reglugons,1,3
Delta Heze,0,0,0,32,0,21,0,0,0,BaronvonDawn,36,3,1,0,0,8,4,3,3,5,5,2,4,,0,0,0,0,0,1,BaronvonDawn,1,5
Delta Heze,0,0,0,33,1,10,0,0,0,Germany Ball,38,1,1,0,0,8,6,5,7,6,10,6,7,,0,0,0,0,0,1,Germany Ball,1,10
Delta Heze,0,0,0,34,0,18,0,0,0,IlIlIlIIIIlIl,38,3,1,0,0,16,3,2,3,4,3,2,2,,0,0,0,0,0,1,IlIlIlIIIIlIl,1,4
Delta Heze,0,0,0,36,1,22,0,0,0,Not A Skinwalker,38,1,1,0,0,16,3,2,2,2,2,2,1,,0,0,0,0,0,1,Not A Skinwalker,1,3
Delta Heze,0,0,0,38,1,13,0,0,0,Tao Te,32,1,1,0,0,16,3,3,2,2,4,3,4,,0,0,0,0,0,1,Tao Te,1,4
Delta Heze,0,0,0,40,1,30,0,0,0,BaxWar II,50,1,1,0,0,13,4,4,3,4,4,4,4,,0,0,0,0,0,1,BaxWar II,1,4
Delta Heze,0,0,0,41,0,23,0,0,0,neptunespride468,38,3,1,0,0,15,8,7,15,6,22,10,17,,0,0,0,0,0,1,neptunespride468,1,22
Delta Heze,0,0,0,42,1,15,0,0,0,FreakONomics,32,1,1,0,0,16,6,6,11,7,12,7,7,,0,0,0,0,0,1,FreakONomics,1,12
Delta Heze,0,0,0,43,1,42,0,0,0,muerteati,50,1,1,0,0,16,5,4,5,4,5,5,4,,0,0,0,0,0,1,muerteati,1,5
Delta Heze,0,0,0,44,0,64,0,0,0,Smooth Bretzel,34,3,1,0,0,16,5,4,5,4,5,5,4,,0,0,0,0,0,1,Smooth Bretzel,1,5
Delta Heze,0,0,0,48,1,11,0,0,0,Corporation 355,44,1,1,0,0,16,3,1,2,2,1,2,1,,0,0,0,0,0,1,Corporation 355,1,3
Delta Heze,0,0,0,49,0,19,0,0,0,Phronto,33,3,1,0,0,16,3,4,3,3,5,2,3,,0,0,0,0,0,1,Phronto,1,5
Delta Heze,0,0,0,50,1,3,0,0,0,Eoin6t,38,1,1,0,0,16,6,7,11,8,11,7,9,,0,0,0,0,0,1,Eoin6t,1,11
Delta Heze,0,0,0,51,1,44,0,0,0,Predatory Mantids,31,1,1,0,0,16,4,4,5,3,4,5,4,,0,0,0,0,0,1,Predatory Mantids,1,5
Delta Heze,0,0,0,53,1,9,0,0,0,Groot2,36,1,1,0,0,16,3,2,2,2,3,3,2,,0,0,0,0,0,1,Groot2,1,3
Delta Heze,0,0,0,54,1,14,0,0,0,Tide,38,1,1,0,0,16,3,3,2,2,4,3,4,,0,0,0,0,0,1,Tide,1,4
Delta Heze,0,0,0,55,1,62,0,0,0,Anne,36,1,1,0,0,15,3,3,2,2,2,3,2,,0,0,0,0,0,1,Anne,1,3
Delta Heze,0,0,0,56,0,56,0,0,0,The Marvels,34,3,1,0,0,16,4,2,2,2,3,2,2,,0,0,0,0,0,1,The Marvels,1,4
Delta Heze,0,0,0,58,1,38,0,0,0,The First Serpent,40,1,1,0,0,16,4,4,3,3,4,5,4,,0,0,0,0,0,1,The First Serpent,1,5
Delta Heze,0,0,0,59,0,59,0,0,0,Slyom,50,3,1,0,0,16,3,2,2,1,1,1,1,,0,0,0,0,0,1,Slyom,1,3
Delta Heze,0,0,0,60,1,60,0,0,0,GoldenLight,36,1,1,0,0,16,5,5,8,6,10,7,7,,0,0,0,0,0,1,GoldenLight,1,10
Delta Heze,0,0,0,1,1,35,0,0,0,Paidam,32,2,1,0,0,16,3,1,1,2,1,1,1,,0,0,0,0,1,0,Paidam,1,3
Delta Heze,0,0,0,2,1,6,0,0,0,phi999,38,2,1,0,0,16,3,2,2,1,1,1,2,,0,0,0,0,1,0,phi999,1,3
Delta Heze,0,0,0,4,1,55,0,0,0,SloppyMicFin,38,2,1,0,0,16,3,1,1,2,1,2,2,,0,0,0,0,1,0,SloppyMicFin,1,3
Delta Heze,0,0,0,9,1,52,0,0,0,ughhhh,36,2,1,0,0,16,3,2,2,3,3,2,2,,0,0,0,0,1,0,ughhhh,1,3
Delta Heze,0,0,0,14,1,29,0,0,0,rosamaelano,33,2,1,0,0,16,3,3,3,3,5,2,4,,0,0,0,0,1,0,rosamaelano,1,5
Delta Heze,0,0,0,16,1,49,0,0,0,Horatio Horatio,50,2,1,0,0,16,4,3,3,4,5,3,2,,0,0,0,0,1,0,Horatio Horatio,1,5
Delta Heze,0,0,0,22,1,61,0,0,0,gurt,33,2,1,0,0,16,3,2,2,2,2,3,2,,0,0,0,0,1,0,gurt,1,3
Delta Heze,0,0,0,25,1,41,0,0,0,GoofusDDawg,36,2,1,0,0,16,3,1,2,1,2,1,1,,0,0,0,0,1,0,GoofusDDawg,1,3
Delta Heze,0,0,0,27,1,5,0,0,0,Omnius,50,2,1,0,0,15,3,2,3,3,5,3,2,,0,0,0,0,1,0,Omnius,1,5
Delta Heze,0,0,0,31,1,31,0,0,0,Woolgoolgarian,36,2,1,0,0,16,3,2,4,3,4,2,4,,0,0,0,0,1,0,Woolgoolgarian,1,4
Delta Heze,0,0,0,37,1,7,0,0,0,Bain,33,2,1,0,0,16,3,2,2,2,2,2,2,,0,0,0,0,1,0,Bain,1,3
Delta Heze,0,0,0,39,1,40,0,0,0,mdntx,38,2,1,0,0,16,5,4,5,5,6,5,4,,0,0,0,0,1,0,mdntx,1,6
Delta Heze,0,0,0,45,1,17,0,0,0,Layer2bell,36,2,1,0,0,16,4,2,2,3,3,2,2,,0,0,0,0,1,0,Layer2bell,1,4
Delta Heze,0,0,0,46,1,32,0,0,0,Sunnyside,34,2,1,0,0,16,4,4,5,5,7,5,4,,0,0,0,0,1,0,Sunnyside,1,7
Delta Heze,0,0,0,63,1,26,0,0,0,Guavatrader,33,2,1,0,0,16,3,1,1,1,2,2,2,,0,0,0,0,1,0,Guavatrader,1,3
Epsilon Alshain,3301,0,570,20,0,28,285,738,275680,Shadow Jack,32,0,0,3298,0,0,17,11,34,10,34,24,29,1,1,1,1,1,0,64,Shadow Jack,1,34
Epsilon Alshain,3379,0,530,60,0,29,276,510,305713,Sentries,38,0,0,3172,0,0,17,11,34,5,35,17,30,2,1,1,1,0,0,32,Sentries,1,35
Epsilon Alshain,1169,0,283,31,0,13,114,362,96179,TacO Cat,34,0,0,1154,0,0,17,12,34,10,34,24,29,3,1,1,1,0,0,16,TacO Cat,1,34
Epsilon Alshain,772,0,223,46,0,41,73,145,112706,Teksas,34,0,0,1140,0,1,17,11,32,5,32,17,31,4,1,1,0,0,0,1,Teksas,1,32
Epsilon Alshain,515,0,113,19,0,57,60,63,19267,Gunnery Sergeant Hartman,43,0,0,299,0,11,9,10,19,9,34,11,21,5,1,1,0,0,0,1,Gunnery Sergeant Hartman,1,34
Epsilon Alshain,396,0,41,54,0,9,35,16,55953,LavaGirl,30,0,0,574,0,10,20,9,22,10,26,14,21,6,1,1,0,0,0,1,LavaGirl,1,26
Epsilon Alshain,145,0,48,11,0,6,17,15,6963,GloryToGlorzar,50,0,0,136,0,16,9,9,10,10,23,10,17,7,1,1,0,0,0,1,GloryToGlorzar,1,23
Epsilon Alshain,12,0,4,2,0,2,2,3,9063,OhPoorTwistedMe,34,0,0,12,0,0,9,10,19,9,31,11,21,8,1,0,0,0,0,1,OhPoorTwistedMe,1,31
Epsilon Alshain,2,0,1,27,0,50,1,1,657,Faaipdeoiad,25,0,0,0,0,0,9,10,19,9,31,11,21,9,1,0,0,0,0,1,Faaipdeoiad,1,31
Epsilon Alshain,0,0,0,3,1,20,0,0,0,lollo,38,1,1,0,0,16,5,6,7,7,12,7,7,,0,0,0,0,0,1,lollo,1,12
Epsilon Alshain,0,0,0,4,1,23,0,0,0,Para,23,1,1,0,0,16,4,4,3,3,6,4,3,,0,0,0,0,0,1,Para,1,6
Epsilon Alshain,0,0,0,5,1,36,0,0,0,Dark Lord,13,1,1,0,0,15,6,5,6,5,7,5,5,,0,0,0,0,0,1,Dark Lord,1,7
Epsilon Alshain,0,0,0,6,1,11,0,0,0,Loakii,38,1,1,0,0,16,4,4,4,4,6,3,4,,0,0,0,0,0,1,Loakii,1,6
Epsilon Alshain,0,0,0,8,1,46,0,0,0,Khan1013,36,1,1,0,0,16,3,3,4,2,3,3,4,,0,0,0,0,0,1,Khan1013,1,4
Epsilon Alshain,0,0,0,10,1,40,0,0,0,Opeak,38,1,1,0,0,16,5,3,5,5,6,3,3,,0,0,0,0,0,1,Opeak,1,6
Epsilon Alshain,0,0,0,12,1,16,0,0,0,Eigengeist,16,1,1,0,0,16,3,2,3,3,2,3,3,,0,0,0,0,0,1,Eigengeist,1,3
Epsilon Alshain,0,0,0,13,1,58,0,0,0,Realmer2099,36,1,1,0,0,16,3,3,3,2,4,3,3,,0,0,0,0,0,1,Realmer2099,1,4
Epsilon Alshain,0,0,0,14,1,19,0,0,0,Domoid,38,1,1,0,0,0,3,2,2,1,3,2,3,,0,0,0,0,0,1,Domoid,1,3
Epsilon Alshain,0,0,0,15,1,14,0,0,0,Pug Boy,50,1,1,0,0,16,3,2,1,1,1,2,2,,0,0,0,0,0,1,Pug Boy,1,3
Epsilon Alshain,0,0,0,16,1,17,0,0,0,Elendil,50,1,1,0,0,7,7,7,9,8,13,8,8,,0,0,0,0,0,1,Elendil,1,13
Epsilon Alshain,0,0,0,17,0,12,0,0,0,blick empire,34,3,1,0,0,16,3,2,4,3,2,4,4,,0,0,0,0,0,1,blick empire,1,4
Epsilon Alshain,0,0,0,18,1,31,0,0,0,Green Wolf,38,1,1,0,0,15,3,2,3,3,2,2,2,,0,0,0,0,0,1,Green Wolf,1,3
Epsilon Alshain,0,0,0,21,1,10,0,0,0,Toasty420,34,1,1,0,0,16,3,1,2,1,3,2,1,,0,0,0,0,0,1,Toasty420,1,3
Epsilon Alshain,0,0,0,22,0,1,0,0,0,CleoDyret,25,3,1,0,0,16,4,3,1,3,4,3,3,,0,0,0,0,0,1,CleoDyret,1,4
Epsilon Alshain,0,0,0,23,1,60,0,0,0,TheContingency,36,1,1,0,0,16,5,5,4,4,8,5,6,,0,0,0,0,0,1,TheContingency,1,8
Epsilon Alshain,0,0,0,24,1,59,0,0,0,Queen Krysfall,50,1,1,0,0,16,3,3,2,5,3,3,3,,0,0,0,0,0,1,Queen Krysfall,1,5
Epsilon Alshain,0,0,0,29,0,35,0,0,0,Bubungus,32,3,1,0,0,16,7,9,6,5,12,5,6,,0,0,0,0,0,1,Bubungus,1,12
Epsilon Alshain,0,0,0,30,0,48,0,0,0,rushb,38,3,1,0,0,16,3,1,1,2,2,1,1,,0,0,0,0,0,1,rushb,1,3
Epsilon Alshain,0,0,0,32,1,37,0,0,0,Aitch08,38,1,1,0,0,16,4,3,4,5,5,3,3,,0,0,0,0,0,1,Aitch08,1,5
Epsilon Alshain,0,0,0,33,0,61,0,0,0,C3aca,38,3,1,0,0,15,3,5,3,3,7,4,8,,0,0,0,0,0,1,C3aca,1,8
Epsilon Alshain,0,0,0,35,1,27,0,0,0,Star Shrek,38,1,1,0,0,16,3,2,3,2,3,2,2,,0,0,0,0,0,1,Star Shrek,1,3
Epsilon Alshain,0,0,0,36,0,55,0,0,0,Pokchop,35,3,1,0,0,16,5,5,4,3,10,5,6,,0,0,0,0,0,1,Pokchop,1,10
Epsilon Alshain,0,0,0,37,1,24,0,0,0,WonderTree,36,1,1,0,0,16,4,3,3,4,4,3,3,,0,0,0,0,0,1,WonderTree,1,4
Epsilon Alshain,0,0,0,38,0,42,0,0,0,Classicus,35,3,1,0,0,14,6,5,7,5,10,5,4,,0,0,0,0,0,1,Classicus,1,10
Epsilon Alshain,0,0,0,40,0,38,0,0,0,TheBadGuy,38,3,1,0,0,16,3,3,3,2,5,4,4,,0,0,0,0,0,1,TheBadGuy,1,5
Epsilon Alshain,0,0,0,41,1,22,0,0,0,Darender,50,1,1,0,0,16,4,4,3,4,5,3,3,,0,0,0,0,0,1,Darender,1,5
Epsilon Alshain,0,0,0,42,1,21,0,0,0,Xixion,33,1,1,0,0,15,4,4,3,4,5,3,3,,0,0,0,0,0,1,Xixion,1,5
